"Reporting starts","Reporting ends","Ad name","Audience segments","Ad delivery","Ad set name",Bid,"Bid type","Ad set budget","Ad set budget type","Last significant edit","Attribution setting","Quality ranking","Engagement rate ranking","Conversion rate ranking",Ends,"Campaign name","Amount spent (USD)",Results,"Result indicator",Reach,Impressions,"Cost per results","Link clicks","Landing page views rate per link clicks","Engaged User (25% Scroll)","Submitted Trial Booking Form","Unique CTR (link click-through rate)",HighEngagement,Purchases,"In-app purchases","Website purchases","Offline purchases","Meta purchases","Result rate","Clicks (all)","CTR (all)","CPC (all) (USD)",Views,"Page engagement","Cost per post engagement (USD)","Instagram profile visits",Leads,"Website leads","Offline leads","Meta leads","Post reactions","Post shares","Post saves","Cost per like (USD)","Cost per unique click (all) (USD)","CTR (link click-through rate)","Post comments",FormProgression,"Submitted Lesson Application","Custom events","In-app custom events"
2025-12-03,2025-12-15,"Ad 3 - Product Preview - Video",engaged,active,"IG Feed - Buyers LAL 1% - US, UK",0,ABSOLUTE_OCPM,7,Daily,2025-12-06T00:11:03-0800,"7-day click, 1-day view, or 1-day engaged-view",-,-,-,Ongoing,"Meta - Sales - V2 Spearhead - Nov 2025",0.71,,,15,23,,,0,,,0,,,,,,,,0,0,0,0,4,0.1775,0,,,,,,,,,0,,,,,,
2025-12-03,2025-12-15,"Ad 2 - Social Proof - JD Video",engaged,active,"IG Feed - Buyers LAL 1% - US, UK",0,ABSOLUTE_OCPM,7,Daily,2025-12-06T00:11:03-0800,"7-day click, 1-day view, or 1-day engaged-view",-,-,-,Ongoing,"Meta - Sales - V2 Spearhead - Nov 2025",0.680253,,,13,19,,,0,,,0,,,,,,,,0,0,0,0,4,0.170063,0,,,,,,,,,0,,,,,,
2025-12-03,2025-12-15,"Ad 1 - Founder - Group Photo",engaged,active,"IG Feed - Buyers LAL 1% - US, UK",0,ABSOLUTE_OCPM,7,Daily,2025-12-06T00:11:03-0800,"7-day click, 1-day view, or 1-day engaged-view",-,-,-,Ongoing,"Meta - Sales - V2 Spearhead - Nov 2025",0.21,,,9,10,,,0,,,0,,,,,,,,0,0,0,0,,,0,,,,,,,,,0,,,,,,
2025-12-03,2025-12-15,"Direct Action Video - Book - Risk-Free",engaged,active,"IG Feed - Buyers LAL 1% - US, UK",0,ABSOLUTE_OCPM,7,Daily,2025-12-06T00:11:03-0800,"7-day click, 1-day view, or 1-day engaged-view",-,-,-,Ongoing,"Meta - Sales - V2 Spearhead - Nov 2025",0.06,,,3,3,,,0,,,0,,,,,,,,0,0,0,0,,,0,,,,,,,,,0,,,,,,
2025-12-03,2025-12-15,"Ad 3 - Product Preview - Video",engaged,active,"FB Feed - Buyers LAL 1% - US, UK",0,ABSOLUTE_OCPM,3,Daily,2025-12-10T02:30:56-0800,"7-day click, 1-day view, or 1-day engaged-view",-,-,-,Ongoing,"Meta - Sales - V2 Spearhead - Nov 2025",0.070267,,,2,2,,,0,,,0,,,,,,,,0,0,0,0,,,0,,,,,,,,,0,,,,,,
2025-12-03,2025-12-15,"Direct Action Video - Book - Risk-Free",engaged,active,"FB Feed - Buyers LAL 1% - US, UK",0,ABSOLUTE_OCPM,3,Daily,2025-12-10T02:30:56-0800,"7-day click, 1-day view, or 1-day engaged-view",-,-,-,Ongoing,"Meta - Sales - V2 Spearhead - Nov 2025",0.02,,,1,1,,,0,,,0,,,,,,,,0,0,0,0,,,0,,,,,,,,,0,,,,,,
2025-12-03,2025-12-15,"Ad 1 - Founder - Group Photo",engaged,active,"FB Feed - Buyers LAL 1% - US, UK",0,ABSOLUTE_OCPM,3,Daily,2025-12-10T02:30:56-0800,"7-day click, 1-day view, or 1-day engaged-view",-,-,-,Ongoing,"Meta - Sales - V2 Spearhead - Nov 2025",0.180096,,,4,6,,,0,,,0,,,,,,,,0,0,0,0,,,0,,,,,,,,,0,,,,,,
2025-12-03,2025-12-15,"Ad 3 - Product Preview - Video",prospecting,active,"IG Feed - Buyers LAL 1% - US, UK",0,ABSOLUTE_OCPM,7,Daily,2025-12-06T00:11:03-0800,"7-day click, 1-day view, or 1-day engaged-view",-,-,-,Ongoing,"Meta - Sales - V2 Spearhead - Nov 2025",22.11,,,1539,1612,,5,0,,,0,,,,,,,,0,0,0,0,277,0.079819,0,,,,,7,,1,,0,0.310174,,,,,
2025-12-03,2025-12-15,"Ad 2 - Social Proof - JD Video",prospecting,active,"IG Feed - Buyers LAL 1% - US, UK",0,ABSOLUTE_OCPM,7,Daily,2025-12-06T00:11:03-0800,"7-day click, 1-day view, or 1-day engaged-view",-,-,-,Ongoing,"Meta - Sales - V2 Spearhead - Nov 2025",26.199747,,,1421,1503,,16,0,,,0,,,,,,,,0,0,0,0,523,0.050095,0,,,,,4,,1,,0,1.064538,,,,,
2025-12-03,2025-12-15,"Ad 1 - Founder - Group Photo",prospecting,active,"IG Feed - Buyers LAL 1% - US, UK",0,ABSOLUTE_OCPM,7,Daily,2025-12-06T00:11:03-0800,"7-day click, 1-day view, or 1-day engaged-view",-,-,-,Ongoing,"Meta - Sales - V2 Spearhead - Nov 2025",15.41,,,1357,1366,,5,0,,,0,,,,,,,,0,0,0,0,13,1.185385,0,,,,,1,,,,0,0.366032,,,,,
