ID,Full name,Given names,Nickname,Title,Suffix,Color label,Surname now,Surname at birth,Gender,Deceased,Mother ID,Mother name,Father ID,Father name,Parents type,Second mother ID,Second mother name,Second father ID,Second father name,Second parents type,Third mother ID,Third mother name,Third father ID,Third father name,Third parents type,Birth date type,Birth year,Birth month,Birth day,Birth range end,Death date type,Death year,Death month,Death day,Death range end,Partner ID,Partner name,Partner title,Partnership type,Partnership date type,Partnership year,Partnership month,Partnership day,Partnership range end,Ex-partner IDs,Extra partner IDs,Email,Website,Blog,Photo site,Home tel,Work tel,Mobile,Skype,Address,Other contact,Birth place,Death place,Cause of death,Burial place,Burial date type,Burial year,Burial month,Burial day,Burial range end,Profession,Company,Interests,Activities,Bio notes,
TAV32,Binteh,Binteh,,,,,,,Female,,M6OLG,Marteh/jawzeh,START,Ana انا,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POXJI,Ebneh,Ebneh,,,,,,,Male,,M6OLG,Marteh/jawzeh,START,Ana انا,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDG4X,Ekhteh,Ekhteh,,,,,,,Female,,VQYK9,Emmeh امي,IW8LA,Bayyeh بيّي,,,,,,,,,,,,,,,,,,,,,,UW810,Joz-Ekhteh جوز اختي,Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFYF5,Mart-Khayyeh,Mart-Khayyeh,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,EPTAW,Khayyeh خيّي,Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M6OLG,Marteh/jawzeh,Marteh/jawzeh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,START,Ana انا,Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SY510,Eben Ekhteh إبن,Eben Ekhteh,,,,,إبن,,Male,,MDG4X,Ekhteh,UW810,Joz-Ekhteh جوز اختي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW73F,Eben Khayyeh إبن,Eben Khayyeh,,,,,إبن,,Male,,HFYF5,Mart-Khayyeh,EPTAW,Khayyeh خيّي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V07RX,Eben-Khalteh إبن خالتي,Eben-Khalteh,,,,,إبن خالتي,,Male,,R69PZ,Khalteh خالتي,OTMR8,Joz-Khalteh جوز خالتي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBUPO,Eben-Khaleh إبن خالي,Eben-Khaleh,,,,,إبن خالي,,Male,,SZKMD,Mart-Khaleh مرت خالي,Q2R2G,Khaleh خالي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G4T20,Eben-3amteh إبن عمتي,Eben-3amteh,,,,,إبن عمتي,,Male,,UTEGJ,3amteh عمتي,ZWNPD,Joz-3amteh جوز عمتي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OER1D,Eben-3ammeh إبن عمي,Eben-3ammeh,,,,,إبن عمي,,Male,,G6AQX,Mart-3ammeh مرت عمي,KOHKZ,3ammeh عمي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VQYK9,Emmeh امي,Emmeh,,,,,امي,,Female,,LXPV4,Sitteh ستي,N7KUB,Jeddeh جدي,,,,,,,,,,,,,,,,,,,,,,IW8LA,Bayyeh بيّي,Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
START,Ana انا,Ana,,,,,انا,,,,VQYK9,Emmeh امي,IW8LA,Bayyeh بيّي,,,,,,,,,,,,,,,,,,,,,,M6OLG,Marteh/jawzeh,Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC8ND,Bint-Ekhteh بنت,Bint-Ekhteh,,,,,بنت,,Female,,MDG4X,Ekhteh,UW810,Joz-Ekhteh جوز اختي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
