Date,Not indexed,Indexed,Impressions
2025-12-19,,,10680
2025-12-20,,,10281
2025-12-21,,,10784
2025-12-22,,,10857
2025-12-23,2202,191,12162
2025-12-24,2207,190,17115
2025-12-25,2207,190,14912
2025-12-26,2207,190,10625
2025-12-27,2207,190,10453
2025-12-28,2207,190,10424
2025-12-29,2207,190,10819
2025-12-30,2207,190,11045
2025-12-31,2207,190,13102
2026-01-01,2207,190,11661
2026-01-02,2207,190,10995
2026-01-03,2207,190,10113
2026-01-04,2266,190,10862
2026-01-05,2266,190,11531
2026-01-06,2266,190,11824
2026-01-07,2277,191,11556
2026-01-08,2277,191,10681
2026-01-09,2277,191,10225
2026-01-10,2277,191,10423
2026-01-11,2278,191,10381
2026-01-12,2278,191,11297
2026-01-13,2278,191,11842
2026-01-14,2277,191,11513
2026-01-15,2277,191,10981
2026-01-16,2277,191,10852
2026-01-17,2277,191,10621
2026-01-18,2265,193,10106
2026-01-19,2265,193,10837
2026-01-20,2265,193,11609
2026-01-21,2253,193,12606
2026-01-22,2253,193,12552
2026-01-23,2253,193,12137
2026-01-24,2253,193,11546
2026-01-25,2245,193,11879
2026-01-26,2245,193,12753
2026-01-27,2245,193,12975
2026-01-28,2259,193,13048
2026-01-29,2259,193,12567
2026-01-30,2259,193,12662
2026-01-31,2259,193,11896
2026-02-01,2268,193,13231
2026-02-02,2268,193,12750
2026-02-03,2268,193,12507
2026-02-04,2229,193,12639
2026-02-05,2229,193,12486
2026-02-06,2229,193,11859
2026-02-07,2229,193,11543
2026-02-08,2215,192,11994
2026-02-09,2215,192,12778
2026-02-10,2215,192,12769
2026-02-11,2178,192,13944
2026-02-12,2178,192,13465
2026-02-13,2178,192,12743
2026-02-14,2178,192,12831
2026-02-15,2131,193,12809
2026-02-16,2131,193,12939
2026-02-17,2131,193,13341
2026-02-18,2093,193,13310
2026-02-19,2093,193,12597
2026-02-20,2093,193,13324
2026-02-21,2093,193,13501
2026-02-22,2097,194,13701
2026-02-23,2097,194,13936
2026-02-24,2097,194,13490
2026-02-25,2069,193,13669
2026-02-26,2069,193,13526
2026-02-27,2069,193,13736
2026-02-28,2069,193,11857
2026-03-01,2069,193,12599
2026-03-02,2069,193,13016
2026-03-03,2069,193,14385
2026-03-04,2046,193,12475
2026-03-05,2046,193,12132
2026-03-06,2046,193,10579
2026-03-07,2046,193,10674
2026-03-08,2040,193,10562
2026-03-09,2040,193,11237
2026-03-10,2040,193,12469
2026-03-11,1990,193,10748
2026-03-12,1990,193,10706
2026-03-13,1990,193,10927
2026-03-14,1990,193,10515
2026-03-15,1990,193,
2026-03-16,1957,194,
2026-03-17,1957,194,
