Date,Affected pages
2025-12-23,285
2025-12-24,292
2025-12-25,292
2025-12-26,292
2025-12-27,292
2025-12-28,292
2025-12-29,292
2025-12-30,292
2025-12-31,292
2026-01-01,292
2026-01-02,292
2026-01-03,292
2026-01-04,294
2026-01-05,294
2026-01-06,294
2026-01-07,304
2026-01-08,304
2026-01-09,304
2026-01-10,304
2026-01-11,308
2026-01-12,308
2026-01-13,308
2026-01-14,312
2026-01-15,312
2026-01-16,312
2026-01-17,312
2026-01-18,307
2026-01-19,307
2026-01-20,307
2026-01-21,299
2026-01-22,299
2026-01-23,299
2026-01-24,299
2026-01-25,297
2026-01-26,297
2026-01-27,297
2026-01-28,300
2026-01-29,300
2026-01-30,300
2026-01-31,300
2026-02-01,302
2026-02-02,302
2026-02-03,302
2026-02-04,262
2026-02-05,262
2026-02-06,262
2026-02-07,262
2026-02-08,257
2026-02-09,257
2026-02-10,257
2026-02-11,229
2026-02-12,229
2026-02-13,229
2026-02-14,229
2026-02-15,187
2026-02-16,187
2026-02-17,187
2026-02-18,155
2026-02-19,155
2026-02-20,155
2026-02-21,155
2026-02-22,151
2026-02-23,151
2026-02-24,151
2026-02-25,186
2026-02-26,186
2026-02-27,186
2026-02-28,186
2026-03-01,186
2026-03-02,186
2026-03-03,186
2026-03-04,207
2026-03-05,207
2026-03-06,207
2026-03-07,207
2026-03-08,210
2026-03-09,210
2026-03-10,210
2026-03-11,209
2026-03-12,209
2026-03-13,209
2026-03-14,209
2026-03-15,209
2026-03-16,209
2026-03-17,209
