Date,Affected pages
2025-12-23,58
2025-12-24,63
2025-12-25,63
2025-12-26,63
2025-12-27,63
2025-12-28,63
2025-12-29,63
2025-12-30,63
2025-12-31,63
2026-01-01,63
2026-01-02,63
2026-01-03,63
2026-01-04,66
2026-01-05,66
2026-01-06,66
2026-01-07,69
2026-01-08,69
2026-01-09,69
2026-01-10,69
2026-01-11,71
2026-01-12,71
2026-01-13,71
2026-01-14,71
2026-01-15,71
2026-01-16,71
2026-01-17,71
2026-01-18,64
2026-01-19,64
2026-01-20,64
2026-01-21,62
2026-01-22,62
2026-01-23,62
2026-01-24,62
2026-01-25,60
2026-01-26,60
2026-01-27,60
2026-01-28,67
2026-01-29,67
2026-01-30,67
2026-01-31,67
2026-02-01,69
2026-02-02,69
2026-02-03,69
2026-02-04,70
2026-02-05,70
2026-02-06,70
2026-02-07,70
2026-02-08,68
2026-02-09,68
2026-02-10,68
2026-02-11,66
2026-02-12,66
2026-02-13,66
2026-02-14,66
2026-02-15,69
2026-02-16,69
2026-02-17,69
2026-02-18,68
2026-02-19,68
2026-02-20,68
2026-02-21,68
2026-02-22,67
2026-02-23,67
2026-02-24,67
2026-02-25,67
2026-02-26,67
2026-02-27,67
2026-02-28,67
2026-03-01,67
2026-03-02,67
2026-03-03,67
2026-03-04,69
2026-03-05,69
2026-03-06,69
2026-03-07,69
2026-03-08,69
2026-03-09,69
2026-03-10,69
2026-03-11,68
2026-03-12,68
2026-03-13,68
2026-03-14,68
2026-03-15,68
2026-03-16,68
2026-03-17,68
