Date,Affected pages
2025-12-23,47
2025-12-24,44
2025-12-25,44
2025-12-26,44
2025-12-27,44
2025-12-28,44
2025-12-29,44
2025-12-30,44
2025-12-31,44
2026-01-01,44
2026-01-02,44
2026-01-03,44
2026-01-04,33
2026-01-05,33
2026-01-06,33
2026-01-07,28
2026-01-08,28
2026-01-09,28
2026-01-10,28
2026-01-11,27
2026-01-12,27
2026-01-13,27
2026-01-14,26
2026-01-15,26
2026-01-16,26
2026-01-17,26
2026-01-18,25
2026-01-19,25
2026-01-20,25
2026-01-21,24
2026-01-22,24
2026-01-23,24
2026-01-24,24
2026-01-25,19
2026-01-26,19
2026-01-27,19
2026-01-28,19
2026-01-29,19
2026-01-30,19
2026-01-31,19
2026-02-01,19
2026-02-02,19
2026-02-03,19
2026-02-04,19
2026-02-05,19
2026-02-06,19
2026-02-07,19
2026-02-08,19
2026-02-09,19
2026-02-10,19
2026-02-11,17
2026-02-12,17
2026-02-13,17
2026-02-14,17
2026-02-15,16
2026-02-16,16
2026-02-17,16
2026-02-18,15
2026-02-19,15
2026-02-20,15
2026-02-21,15
2026-02-22,15
2026-02-23,15
2026-02-24,15
2026-02-25,13
2026-02-26,13
2026-02-27,13
2026-02-28,13
2026-03-01,13
2026-03-02,13
2026-03-03,13
2026-03-04,13
2026-03-05,13
2026-03-06,13
2026-03-07,13
2026-03-08,12
2026-03-09,12
2026-03-10,12
2026-03-11,12
2026-03-12,12
2026-03-13,12
2026-03-14,12
2026-03-15,12
2026-03-16,12
2026-03-17,12
