No,Brand,Avg. rank,Mentions,Visibility
1,"Lebanese Arabic with Hiba",3.2,5,25
2,"Levantine Online",4.2,5,25
3,"The Spoken Arabic School",2,4,20
4,"Lebanese Arabic Institute (LAI)",1.25,4,20
5,"Levantine Institute (LEVIT)",2,4,20
6,"Lebanese Arabic Institute",1,3,15
7,"Preply",2,2,10
8,"Keefak",1,2,10
9,"The Spoken Arabic Platform",3,2,10
10,"Talkio AI",2.5,2,10
11,"Mango Languages",3.5,2,10
12,"iMasterArabic",2,2,10
13,"ALBI Language Institute",4,2,10
14,"The Spoken Arabic",3.5,2,10
15,"The Lebanese Arabic Institute (LAI)",1,1,5
16,"Lebanese American University (LAU)",3,1,5
17,"Beginner Lebanese Arabic Online Lessons (Study Arabic Online)",5,1,5
18,"Lebanese American University",6,1,5
19,"Italki",3,1,5
20,"Let’s Learn Online",4,1,5
21,"Glossika Arabic",5,1,5
22,"Levantine Online / Levantine Institute",1,1,5
23,"RYZE",1,1,5
24,"RYZE Membership",3,1,5
25,"Study Arabic Online",4,1,5
26,"Hob Learning",5,1,5
27,"CALF – Center of Arabic Language for Foreigners",4,1,5
28,"Lebanese Arabic Online (The Excellence Center)",4,1,5
29,"The Excellence Center - Lebanese Arabic Online",2,1,5
30,"NaTakallam",3,1,5
31,"SINARC at LAU (Lebanese American University)",2,1,5
32,"SINARC Arabic Language and Culture Program",2,1,5
33,"Lebanese Arabic Online (Excellence Center)",4,1,5
34,"Lebanese American University (SINARC)",5,1,5
