No,Keyword,Volume,Position,Estimated Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL
1,arabic for hello,22200,23,59,$2.47,1,48,https://www.lebanesearabicinstitute.com/hello-in-lebanese-arabic/
2,hello arabic,22200,26,59,$2.47,1,41,https://www.lebanesearabicinstitute.com/hello-in-lebanese-arabic/
3,hello arabic language,22200,28,53,$2.47,1,41,https://www.lebanesearabicinstitute.com/hello-in-lebanese-arabic/
4,arabic for thank you,18100,19,101,$1.43,1,46,https://www.lebanesearabicinstitute.com/thank-you-welcome-lebanese-arabic/
5,arabic thank you,18100,26,59,$1.43,1,40,https://www.lebanesearabicinstitute.com/thank-you-welcome-lebanese-arabic/
6,how to say thank you in arabic,5400,13,81,$1.12,1,17,https://www.lebanesearabicinstitute.com/thank-you-welcome-lebanese-arabic/
7,how do i say thank you in arabic,5400,18,31,$3.91,1,19,https://www.lebanesearabicinstitute.com/thank-you-welcome-lebanese-arabic/
8,how are you in arabic language,4400,54,9,$0.41,1,46,https://www.lebanesearabicinstitute.com/how-are-you-lebanese-arabic/
9,how r u in arabic,4400,32,9,$0.41,1,37,https://www.lebanesearabicinstitute.com/how-are-you-lebanese-arabic/
10,how are you in arabic,4400,21,18,$0.42,1,46,https://www.lebanesearabicinstitute.com/how-are-you-lebanese-arabic/
11,how are you to arabic,4400,26,9,$1.82,1,46,https://www.lebanesearabicinstitute.com/how-are-you-lebanese-arabic/
12,how about you in arabic,4400,30,9,$0.41,1,41,https://www.lebanesearabicinstitute.com/how-are-you-lebanese-arabic/
13,lebanese language,3600,10,168,$4.25,1,36,https://www.lebanesearabicinstitute.com/lebanese-arabic-from-scratch/
14,lebanese arabic,1300,13,25,$10.14,4,60,https://www.lebanesearabicinstitute.com/lebanese-arabic-from-scratch/
15,lebanon arabic language,1300,7,85,$10.14,4,24,https://www.lebanesearabicinstitute.com/
16,lebanon in arabic,1300,27,2,$5.96,5,44,https://www.lebanesearabicinstitute.com/hello-in-lebanese-arabic/
17,lebanese pronunciation,1000,32,2,$0,1,30,https://www.lebanesearabicinstitute.com/hello-in-lebanese-arabic/
18,merry christmas arabic,880,6,85,$0,1,34,https://www.lebanesearabicinstitute.com/merry-christmas-happy-new-year/
19,merry christmas in arabic,880,5,85,$0,1,32,https://www.lebanesearabicinstitute.com/merry-christmas-happy-new-year/
20,happy christmas arabic,880,4,142,$0,1,35,https://www.lebanesearabicinstitute.com/merry-christmas-happy-new-year/
21,arabic merry christmas,880,6,142,$0,1,23,https://www.lebanesearabicinstitute.com/merry-christmas-happy-new-year/
22,hello how are you in arabic,720,31,1,$3.10,1,29,https://www.lebanesearabicinstitute.com/how-are-you-lebanese-arabic/
23,hi how are you in arabic,720,24,1,$3.10,1,29,https://www.lebanesearabicinstitute.com/how-are-you-lebanese-arabic/
24,hello how are you in arabic language,720,39,1,$3.10,1,29,https://www.lebanesearabicinstitute.com/how-are-you-lebanese-arabic/
25,hello how are you arabic,720,31,1,$3.10,1,45,https://www.lebanesearabicinstitute.com/how-are-you-lebanese-arabic/
26,saying thank you in arabic,590,14,6,$0,1,41,https://www.lebanesearabicinstitute.com/thank-you-welcome-lebanese-arabic/
27,write my name in arabic letters,480,49,0,$3.24,5,31,https://www.lebanesearabicinstitute.com/arabic-alphabet/
28,marhaban meaning,320,76,0,$0,1,21,https://www.lebanesearabicinstitute.com/hello-in-lebanese-arabic/
29,how do you say merry christmas in arabic,320,4,31,$0,1,28,https://www.lebanesearabicinstitute.com/merry-christmas-happy-new-year/
30,how to pronounce lebanese,320,28,0,$0,1,22,https://www.lebanesearabicinstitute.com/hello-in-lebanese-arabic/
31,how to say merry christmas in arabic,320,5,31,$0,1,30,https://www.lebanesearabicinstitute.com/merry-christmas-happy-new-year/
32,how to say hi in lebanese,260,5,25,$0,1,30,https://www.lebanesearabicinstitute.com/hello-in-lebanese-arabic/
33,what is arabic for hello,260,26,0,$0.37,1,54,https://www.lebanesearabicinstitute.com/hello-in-lebanese-arabic/
34,how do you say hello in lebanese,260,6,17,$0,1,26,https://www.lebanesearabicinstitute.com/hello-in-lebanese-arabic/
35,how to say hello in lebanese,260,6,25,$0,1,31,https://www.lebanesearabicinstitute.com/hello-in-lebanese-arabic/
36,hello lebanese,260,4,79,$0,1,20,https://www.lebanesearabicinstitute.com/hello-in-lebanese-arabic/
37,marhaban in arabic,260,60,0,$0,1,20,https://www.lebanesearabicinstitute.com/hello-in-lebanese-arabic/
38,lebanese for hello,260,4,42,$0,1,31,https://www.lebanesearabicinstitute.com/hello-in-lebanese-arabic/
39,hello in lebanese,260,4,42,$0,1,31,https://www.lebanesearabicinstitute.com/hello-in-lebanese-arabic/
40,marhaban arabic,260,59,0,$0,1,22,https://www.lebanesearabicinstitute.com/hello-in-lebanese-arabic/
41,learn lebanese arabic,210,3,20,$9.12,50,27,https://www.lebanesearabicinstitute.com/courses-lebanese-arabic/
42,learn arabic lebanon,320,7,7,$5.83,66,35,https://www.lebanesearabicinstitute.com/online-arabic-classes/
43,learn arabic in lebanon,210,9,7,$9.12,50,41,https://www.lebanesearabicinstitute.com/
44,lebanese language learn,210,4,20,$9.12,50,25,https://www.lebanesearabicinstitute.com/courses-lebanese-arabic/
45,learn lebanese language,320,6,20,$5.83,66,19,https://www.lebanesearabicinstitute.com/courses-lebanese-arabic/
46,beirut hamra map,210,26,0,$0,2,20,https://www.lebanesearabicinstitute.com/areas-beirut/
47,how to say thank in arabic,170,21,0,$0,1,23,https://www.lebanesearabicinstitute.com/thank-you-welcome-lebanese-arabic/
48,what is arabic for thank you,170,20,0,$0,1,40,https://www.lebanesearabicinstitute.com/thank-you-welcome-lebanese-arabic/
49,what is thank you in arabic,170,16,1,$0,1,23,https://www.lebanesearabicinstitute.com/thank-you-welcome-lebanese-arabic/
