No,Source Page Title,Source URL,Target URL,Domain Authority,Page Authority,Spam Score,Anchor Text,First Seen,Last Seen
1,"Typewriter - Wikipedia","https://en.wikipedia.org/wiki/Typewriter","https://www.lebanesearabicinstitute.com/arabic-alphabet/",97,79,16,"the arabic alphabet a guide to the phonology and orthography of msa and lebanese arabic","2025-06-08","2025-12-08"
2,"Hazmieh — Wikipédia","https://fr.wikipedia.org/wiki/Hazmieh","https://www.lebanesearabicinstitute.com/areas-beirut/",95,52,17,"areas of beirut","2023-08-26","2026-02-19"
3,"Inside Achrafieh, the Wealthy Beirut District Carlos Ghosn Fled to - Business Insider","https://www.businessinsider.com/where-is-former-nissan-ceo-carlos-ghosn-achrafieh-beirut-lebanon-2020-1","https://www.lebanesearabicinstitute.com/areas-beirut/",94,57,1,"lebanese arabic institute","2020-01-06","2025-12-22"
4,"Arabic alphabet | Chart, Letters, & Calligraphy | Britannica","https://www.britannica.com/topic/Arabic-alphabet","https://www.lebanesearabicinstitute.com/arabic-alphabet/",93,65,1,"lebanese arabic institute the arabic alphabet a guide to the phonology and orthography of msa and lebanese arabic","2023-07-17","2025-12-22"
5,"How to Greet in Arabic: 12 Steps (with Pictures) - wikiHow","https://www.wikihow.com/Greet-in-Arabic","https://www.lebanesearabicinstitute.com/hello-in-lebanese-arabic/",93,58,2,"https://www.lebanesearabicinstitute.com/hello-in-lebanese-arabic/","2019-11-18","2019-11-18"
6,"日本で受講できるアラビア語スクール・クラス一覧 – アラビア語学習メモ","https://alarabiyah.sakura.ne.jp/arabic/study/classes/","https://www.lebanesearabicinstitute.com/",93,43,7,"lebanese arabic institute","2021-12-17","2025-12-09"
7,"","https://cechmistrz1.home.pl/valentin-yordanov/institute-for-short-4-letters","https://www.lebanesearabicinstitute.com/arabic-alphabet/",93,41,1,"the arabic alphabet a guide to the phonology and orthography of msa","2022-12-26","2022-12-26"
8,"Phonetic Arabic Alphabet : Arabic Alphabet Pronunciation And Language | Fun Activities Kids","https://coloringguru.vercel.app/phonetic-arabic-alphabet-arabic-alphabet-pronunciation-and-language/","https://www.lebanesearabicinstitute.com/wp-content/uploads/2017/02/kalila-wa-dimna-pg-142-300x204.png",92,43,null,"usually it is the first thing a person should start learning. the arabic alphabet a guide to the phonology and orthography of msa and lebanese arabic lebanese arabic institute","2026-02-28","2026-02-28"
9,"(8/10/20) #beirut knowledge as maps and grids - Ammar Mian","https://ammarmian.substack.com/p/81020-beirut-knowledge-as-maps-and","https://www.lebanesearabicinstitute.com/shu/",92,43,2,"shu","2021-10-06","2023-03-13"
10,"Frontiers | Using Intervention Mapping to Develop Health Education and Health Policy Components to Increase Breast Cancer Screening and Chemotherapy Adherence Among Syrian and Iraqi Refugee Women in Beirut, Lebanon | Public Health","https://internal-journal.frontiersin.org/articles/10.3389/fpubh.2020.00101/full","https://www.lebanesearabicinstitute.com/administrative-divisions-lebanon/",92,42,2,"https://www.lebanesearabicinstitute.com/administrative-divisions-lebanon/","2021-09-25","2022-07-14"
