No,Keywords,Volume,Position,Est. Visits,Seo Difficulty,Ranking Url
1,alphabet in arabic language,60500,7,386,57,http://lebanesearabicinstitute.com/arabic-alphabet/
2,arabic letters pronunciation,390,1,194,27,http://lebanesearabicinstitute.com/arabic-alphabet/
3,arabic letter pronunciation,390,1,178,27,http://lebanesearabicinstitute.com/arabic-alphabet/
4,msa arabic,1900,2,138,29,http://lebanesearabicinstitute.com/studying-arabic/
5,happy new year arabic,260,1,128,43,http://lebanesearabicinstitute.com/merry-christmas-happy-new-year/
6,arabic happy new year,260,1,128,42,http://lebanesearabicinstitute.com/merry-christmas-happy-new-year/
7,arabic alphabet charts,2400,2,104,38,http://lebanesearabicinstitute.com/arabic-alphabet/
8,kifak,210,1,101,29,http://lebanesearabicinstitute.com/how-are-you-lebanese-arabic/
9,happy easter in arabic,210,1,99,26,http://lebanesearabicinstitute.com/easter-arabic/
10,pronunciation of arabic letters in english,210,1,99,22,http://lebanesearabicinstitute.com/arabic-alphabet/
11,happy easter arabic,210,1,99,29,http://lebanesearabicinstitute.com/easter-arabic/
12,arabic alphabet how to pronounce,210,1,99,27,http://lebanesearabicinstitute.com/arabic-alphabet/
13,arabic alphabet pronounce,1600,2,90,41,http://lebanesearabicinstitute.com/arabic-alphabet/
14,arabic letters with pronunciation,1600,2,87,45,http://lebanesearabicinstitute.com/arabic-alphabet/
15,lebanese language,3600,5,85,36,http://lebanesearabicinstitute.com/lebanese-arabic-from-scratch/
16,arabic hamza,720,2,83,26,http://lebanesearabicinstitute.com/hamza/
17,arabic alphabet and pronunciation,1600,2,83,40,http://lebanesearabicinstitute.com/arabic-alphabet/
18,colloquial arabic,2900,7,81,20,http://lebanesearabicinstitute.com/studying-arabic/
19,how do you say thank you in lebanese,140,1,74,22,http://lebanesearabicinstitute.com/thank-you-welcome-lebanese-arabic/
20,how to say thank you in lebanese,140,1,67,21,http://lebanesearabicinstitute.com/thank-you-welcome-lebanese-arabic/
21,lebanese arabic,1300,9,57,57,http://lebanesearabicinstitute.com/
22,map beirut,2400,10,53,41,http://lebanesearabicinstitute.com/areas-beirut/
23,goodbye arabic,4400,4,47,33,http://lebanesearabicinstitute.com/goodbye-lebanese-arabic/
24,arabic msa,1900,3,45,33,http://lebanesearabicinstitute.com/studying-arabic/
25,how to say thank you in arabic,5400,9,44,17,http://lebanesearabicinstitute.com/thank-you-welcome-lebanese-arabic/
26,arabic letter in english,3600,9,36,69,http://lebanesearabicinstitute.com/arabic-alphabet/
27,letters in arabic and english,3600,8,36,56,http://lebanesearabicinstitute.com/arabic-alphabet/
28,districts in lebanon,1000,2,36,34,http://lebanesearabicinstitute.com/administrative-divisions-lebanon/
29,arabic language writing system,2900,5,35,67,http://lebanesearabicinstitute.com/arabic-alphabet/
30,map of beirut,2400,4,35,35,http://lebanesearabicinstitute.com/areas-beirut/
31,arabic alphabet chart,2400,4,35,49,http://lebanesearabicinstitute.com/arabic-alphabet/
32,arabic writing system,2900,5,34,81,http://lebanesearabicinstitute.com/arabic-alphabet/
33,arabic alphabet phonetics,70,1,32,57,http://lebanesearabicinstitute.com/arabic-alphabet/
34,goodbye in arabic,4400,7,30,32,http://lebanesearabicinstitute.com/goodbye-lebanese-arabic/
35,arabic letters chart,2400,6,29,65,http://lebanesearabicinstitute.com/arabic-alphabet/
36,goodbye in arabic language,4400,10,29,31,http://lebanesearabicinstitute.com/goodbye-lebanese-arabic/
37,arabic letters alphabet,60500,11,28,60,http://lebanesearabicinstitute.com/arabic-alphabet/
38,arabic spellings,390,2,28,62,http://lebanesearabicinstitute.com/arabic-alphabet/
39,arabic language pronunciation,2900,6,27,40,http://lebanesearabicinstitute.com/arabic-alphabet/
40,arabic alphabet pronunciations,1600,3,27,34,http://lebanesearabicinstitute.com/arabic-alphabet/
