No,Keyword,Search Volume,CPC,Paid Difficulty,SEO Difficulty
1,"lebanese","60,500","$0.48","1","57"
2,"lebanese language","3,600","$4.25","1","36"
3,"lebanese arabic","1,300","$14.45","4","57"
4,"english to lebanese arabic","210","$5.15","2","25"
5,"english to lebanese","590","$2.49","2","38"
6,"thank you in lebanese","320","$0.00","1","25"
7,"hello in lebanese","320","$0.00","1","31"
8,"lebanese accent","110","$0.00","1","33"
9,"lebanese meaning","390","$0.00","1","34"
10,"learn lebanese arabic","320","$5.83","66","35"
11,"good morning in lebanese","140","$0.00","1","29"
12,"lebanese arabic course","30","$6.21","50","19"
13,"lebanese slang","90","$0.00","1","17"
14,"lebanese desserts","2,400","$0.34","7","22"
15,"i love you in lebanese","110","$0.00","1","31"
16,"lebanese words","110","$0.00","1","15"
17,"how to say hello in lebanese","260","$0.00","1","30"
18,"lebanese in arabic","1,300","$10.14","4","46"
19,"happy birthday in lebanese","140","$0.00","1","18"
20,"lebanese dialect","90","$0.24","5","41"
21,"grandma in lebanese","480","$0.00","1","23"
22,"thank you in lebanese arabic","70","$0.00","1","22"
23,"lebanese alphabet","110","$0.03","52","32"
24,"how to say thank you in lebanese","140","$0.00","1","21"
25,"lebanese phrases","70","$0.00","1","28"
26,"how are you in lebanese","50","$0.00","1","19"
27,"lebanese arabic to english","70","$2.85","5","25"
28,"lebanese arabic phrases","140","$1.09","4","31"
29,"i love you in lebanese arabic","70","$0.00","1","29"
30,"lebanese sayings","70","$0.00","1","18"
31,"lebanese arabic lessons","210","$8.55","53","29"
32,"grandfather in lebanese","260","$0.00","1","22"
33,"hello in lebanese arabic","50","$0.00","1","30"
34,"grandpa in lebanese","260","$0.00","1","26"
35,"hi in lebanese","50","$0.00","1","13"
36,"good morning in lebanese arabic","40","$0.00","1","27"
37,"how to say hi in lebanese","260","$0.00","1","31"
38,"grandmother in lebanese","480","$0.00","1","22"
39,"how do you say hello in lebanese","260","$0.00","1","26"
40,"how do you say thank you in lebanese","140","$0.00","1","22"
41,"how to learn lebanese arabic","70","$6.27","56","26"
42,"lebanese arabic translator","260","$4.08","5","15"
43,"arabic lebanese","210","$0.00","1","19"
44,"how to say hello in lebanese arabic","20","$0.00","1","5"
45,"how are you in lebanese arabic","30","$0.00","1","25"
46,"how to say i love you in lebanese","70","$0.00","1","33"
47,"happy birthday in lebanese arabic","50","$0.00","1","32"
48,"uncle in lebanese","30","$0.00","1","16"
49,"lebanese writing","70","$0.00","1","64"
50,"how to say i love you in lebanese arabic","0","$0.00","1","4"
