"TITLE","AUTHOR","ASIN/ISBN","TYPE"
"middle east","","","-"
"middle east books","","","Amazon Suggestions"
"middle east cookbook","","","Amazon Suggestions"
"middle east history","","","Amazon Suggestions"
"middle east politics","","","Amazon Suggestions"
"middle eastern cookbook","","","Amazon Suggestions"
"middle eastern cookery books","","","Amazon Suggestions"
"middle eastern food","","","Amazon Suggestions"
"middle eastern history","","","Amazon Suggestions"
"middle eastern vegetarian cookbook","","","Amazon Suggestions"
"middle east art","","","Amazon A to Z Suggestions"
"middle east conflict","","","Amazon A to Z Suggestions"
"middle east dinner set","","","Amazon A to Z Suggestions"
"middle east essential oils","","","Amazon A to Z Suggestions"
"middle east fiction","","","Amazon A to Z Suggestions"
"middle east gcse","","","Amazon A to Z Suggestions"
"middle east history book","","","Amazon A to Z Suggestions"
"middle east intelligence","","","Amazon A to Z Suggestions"
"middle east jewellery","","","Amazon A to Z Suggestions"
"middle east lonely planet","","","Amazon A to Z Suggestions"
"middle east map","","","Amazon A to Z Suggestions"
"middle east novels","","","Amazon A to Z Suggestions"
"middle east ornaments","","","Amazon A to Z Suggestions"
"middle east photography","","","Amazon A to Z Suggestions"
"middle east rug","","","Amazon A to Z Suggestions"
"middle east studies","","","Amazon A to Z Suggestions"
"middle east trucking books","","","Amazon A to Z Suggestions"
"middle east vegetarian","","","Amazon A to Z Suggestions"
"middle east war","","","Amazon A to Z Suggestions"
"international relations of the middle east","louise fawcett","0198809425","Search Results"
"a history of the middle east","peter mansfield","0141988460","Search Results"
"the new middle east","paul danahar","1408870177","Search Results"
"shadow wars","christopher davidson","1786071924","Search Results"
"the middle east","bernard lewis","B004N62CI0","Search Results"
"what the west is getting wrong about the middle east","ömer taspinar","1788310101","Search Results"
"what is russia up to in the middle east ","dmitri trenin","B077C99KND","Search Results"
"displacement and dispossession in the modern middle east","dawn chatty","0521521041","Search Results"
"middle east phrasebook   dictionary ","lonely planet","1741791391","Search Results"
"losing the long game","h. gordon","1250217032","Search Results"
"a line in the sand","james barr","1847394574","Search Results"
"the great war for civilisation","robert fisk","1841150088","Search Results"
"black wave","kim ghattas","1472271130","Search Results"
"behind the kingdom's veil","susanne koelbl","1642503444","Search Results"
"lords of the desert","james barr","1471139808","Search Results"
"quite alone","matthew teller","B08FNK8VNK","Search Results"
"war and conflict in the middle east and north africa","ariel i. ahram","150953282X","Search Results"
"the middle east crisis factory","iyad el baghdadi","1787383040","Search Results"
"master of the game","martin indyk","1101947543","Search Results"
"the man who created the middle east","christopher simon sykes","0008121931","Search Results"
"middle east for dummies ","davis","0764554832","Search Results"
"a handbook of gods and goddesses of the ancient near","douglas r. frayne","1575068370","Search Results"
"lonely planet middle east ","lonely planet","1786570718","Search Results"
"the battle for syria","christopher phillips","0300249918","Search Results"
"the power of deserts","dan rabinowitz","1503609987","Search Results"
"a critical political economy of the middle east and north","joel beinin","1503614476","Search Results"
"the fall of the ottomans","eugene rogan","1846144396","Search Results"
"how china's rise is changing the middle east","anoushiravan ehteshami","0367785714","Search Results"
"amazing women of the middle east","tarnowska wafa'","1623718708","Search Results"
"sirocco","sabrina ghayour","178472047X","Search Results"
"war of shadows","gershom gorenberg","1610396278","Search Results"
"the forty rules of love","elif shafak","0241972930","Search Results"
"middle east  tubed","national geographic maps","0792281144","Search Results"
"reflections","venetia porter","0714111953","Search Results"
"pearson edexcel gcse ","kirsty taylor","1292176423","Search Results"
"the middle east","dr stephen bourke","0500294453","Search Results"
"six days of war","michael b. oren","0195151747","Search Results"
"the modern middle east","james l gelvin","019007406X","Search Results"
"operation ajax","mike de seve","1781689237","Search Results"
"oil money","david m. wight","1501715720","Search Results"
"vegan recipes from the middle east","parvin razavi","1910690376","Search Results"
"routledge handbook on middle east security","anders jägerskog","0367659565","Search Results"
"persiana","sabrina ghayour","184533910X","Search Results"
"erdogan's empire","soner cagaptay","1788317394","Search Results"
"the silk road and beyond","ivor whittall (edited and revised by paul rowlands)","1912158353","Search Results"
"contemporary politics in the middle east","beverley milton edwards","150952083X","Search Results"
"edexcel gcse ","hilary brash","1292127317","Search Results"
"feasts from the middle east","comptoir libanais","0008248346","Search Results"
"all the shah's men","stephen kinzer","047018549X","Search Results"
"the room where it happened","john bolton","1982148039","Search Results"
"black wave","kim ghattas","1472271092","Middle Eastern Politics"
"filming the modern middle east","lina khatib","1845111915","Middle Eastern Politics"
"national geographic atlas of the middle east","carl mehler","1426202210","Middle Eastern Politics"
"the middle east in international relations","fred halliday","0521597412","International Relations"
"what is russia up to in the middle east ","dmitri trenin","150952231X","International Relations"
"ancient armies of the middle east ","terence wise","0850453844","Ancient History & Civilisation"
"mapping the middle east","zayde antrim","1780238509","Ancient History & Civilisation"
"redrawing the middle east","michael d berdine","1788311949","Ancient History & Civilisation"
"the great war in the middle east","robert johnson","0367661748","Ancient History & Civilisation"
"ancient middle east","captivating history","1647489679","Ancient History & Civilisation"
"the six day war","guy laron","0300234554","Ancient History & Civilisation"
"jealous gods and chosen people","david leeming","0195182529","Ancient History & Civilisation"
"watermelon democracy","joshua stacher (author)","0815636873","Ancient History & Civilisation"
"the persistence of orientalism","peter gran (author)","0815636989","Ancient History & Civilisation"
"the multiple identities of the middle east","bernard lewis","0753808749","History of Civilisation & Culture"
"the cultural atlas of mesopotamia and the ancient near east","michael roaf","0816022186","History of Civilisation & Culture"
"ancient iraq","georges roux","014012523X","History of Civilisation & Culture"
"islamic empires","justin marozzi","0141981091","History of Civilisation & Culture"
"islamic empires","justin marozzi","1643136933","History of Civilisation & Culture"
"jerusalem","simon sebag montefiore","1474614396","History of Civilisation & Culture"
"the first great powers","arthur cotterell","1787382117","History of Civilisation & Culture"
"a history of the islamic world  600 1800","jo van steenbergen","0415660327","History of Civilisation & Culture"
"the uruk world system  second edition","guillermo algaze","0226013820","History of Civilisation & Culture"
"conflicts in the middle east since 1945 ","peter hinchcliffe","0415440173","History of Iraq"
"the routledge handbook of the history of the middle east","cyrus schayegh","1138800589","History of Iraq"
"after isis","shalom hammer","9657023092","History of Iraq"
"a quest in the middle east","liora lukitz","1780766815","History of Iraq"
"lords of the desert","james barr","1471139794","History of Syria"
"the politics of mass violence in the middle east ","laura robson","019882503X","History of Syria"
"the secret anglo french war in the middle east","meir zamir","1138237124","History of Syria"
"six days of war","michael b. oren","0345461924","History of Syria"
"the great syrian revolt and the rise of arab nationalism","michael provence","0292706804","History of Syria"
"the last christians","andreas knapp","0874860628","History of Syria"
"turkey  egypt, and syria","shibli numani (author)   gregory maxwell bruce (translated by)","0815636547","History of Syria"
