"category","absr1","sales1","absr10","sales10"
"Books > Reference > Dictionaries & Thesauruses > Dictionaries",779,82,6338,19
"Books > Reference > Dictionaries & Thesauruses > Foreign Dictionaries & Thesauruses",2028,64,8310,15
"Books > Reference > Etiquette > Conversation",2074,62,10717,12
"Books > Reference > Foreign Language Study & Reference > Instruction",918,76,8759,14
"Books > Travel > Africa > Algeria",7759,16,305007,1
"Books > Travel > Africa > Egypt > General",37490,6,140776,1
"Books > Travel > Africa > Eritrea",9088,14,748683,1
"Books > Travel > Africa > Ethiopia & Djibouti",9088,14,2346067,1
"Books > Travel > Africa > Libya",21939,9,594435,1
"Books > Travel > Africa > Madagascar & Comoros",2422594,1,479555,1
"Books > Travel > Africa > Morocco",14030,11,240897,1
"Books > Travel > Africa > Sudan",3209,29,421485,1
"Books > Travel > Africa > Tunisia",29461,8,258115,1
"Books > Travel > Africa > Western Africa: Mali, Mauritania & Western Sahara",5125,22,280676,1
"Books > Travel > Asia > Singapore",12095,12,59879,3
"Books > Travel > Asia > Turkey > General",4116,26,39519,5
"Books > Travel > Middle East > Bahrain, Kuwait, Oman, Qatar, United-Arab-Emirates & Yemen",46200,4,134821,1
"Books > Travel > Middle East > General",3368,29,57535,3
"Books > Travel > Middle East > Iran",12659,11,403102,1
"Books > Travel > Middle East > Iraq",84404,2,357881,1
"Books > Travel > Middle East > Jordan",70692,2,239788,1
"Books > Travel > Middle East > Lebanon",14868,11,176900,1
"Books > Travel > Middle East > Saudi Arabia",14868,11,248950,1
"Books > Travel > Middle East > Syria",3002,30,594435,1
"Books > Travel > Reference > Phrasebooks",2093,61,23274,9
"Kindle Store > Kindle eBooks > Reference > Dictionaries & Thesauruses",35557,9,56458,4
"Kindle Store > Kindle eBooks > Reference > Foreign Language Study & Reference > Language Instruction > Arabic",11624,15,259779,1
"Kindle Store > Kindle eBooks > Reference > Foreign Language Study & Reference > Phrasebooks",18003,13,80758,3
"Kindle Store > Kindle eBooks > Travel > Middle East",23652,12,96149,1
