"category","absr1","sales1","absr10","sales10"
"Books > Biographies & Memoirs > Leaders & Notable People > Political",17,826,368,135
"Books > Biographies & Memoirs > Professionals & Academics > Computers & Technology",3878,26,5084,22
"Books > Business & Money > Business Culture > Work Life Balance",1478,51,14734,11
"Books > Christian Books & Bibles > Literature & Fiction > Poetry",593,99,5494,20
"Books > Computers & Technology > History & Culture > Biographies",3680,27,15369,11
"Books > History > Ancient Civilizations",61,438,1268,60
"Books > History > Middle East",589,99,12316,11
"Books > Literature & Fiction > Poetry > Themes & Styles > Inspirational & Religious",140,260,2989,30
"Books > Mystery, Thriller & Suspense > Thrillers & Suspense > Spies & Politics > Espionage",28,612,420,125
"Books > Politics & Social Sciences > Archaeology",791,81,21152,9
"Books > Politics & Social Sciences > Philosophy > Religious",2916,33,8494,15
"Books > Reference > Dictionaries & Thesauruses > Foreign Dictionaries & Thesauruses",2028,64,8310,15
"Books > Self-Help > Mid-Life",3278,29,19665,10
"Books > Self-Help > Personal Transformation",8,1144,89,339
"Books > Textbooks > Humanities > Foreign Languages",1012,71,9178,13
"Books > Textbooks > Humanities > Literature",543,104,7560,16
"Books > Travel > Middle East > Bahrain, Kuwait, Oman, Qatar, United-Arab-Emirates & Yemen",46200,4,134821,1
"Books > Travel > Middle East > General",3368,29,57535,3
"Books > Travel > Middle East > Lebanon",14868,11,176900,1
"Books > Travel > Reference > Phrasebooks",2093,61,23274,9
