"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad set name",Bid,"Bid type","Ad set budget","Ad set budget type","Last significant edit","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (USD)",Ends,"Campaign name","Clicks (all)","CTR (all)","CPC (all) (USD)",Views,"Landing page views rate per link clicks","Page engagement","Cost per post engagement (USD)","Link clicks","Instagram profile visits",Leads,"Website leads","Offline leads","Meta leads","Result rate","Post reactions","Post shares","Post saves","Cost per Like (USD)","Cost per unique click (all) (USD)","CTR (link click-through rate)","Unique CTR (link click-through rate)","Post comments",FormProgression,"Submitted Lesson Application","Custom events","In-app custom events",HighEngagement
2025-09-08,2025-11-10,"Ad - Video - Interest Hook - Authentic Audio",not_delivering,"Warm Retargeting - V3-Booking",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-10-10T09:04:45-0700,"7-day click, 1-day view, or 1-day engaged-view",,,55,62,,-,-,-,0.81,Ongoing,"Sales - Booking Funnel Test - Oct 2025",1,1.612903,0.81,88,0,13,0.062308,,0,,,,,,,,,,0.81,,0,,,,,,
2025-09-08,2025-11-10,"Ad - Video - Interest Hook - Music - Copy",not_delivering,"Control - Interest Hook - V2 Page",0,ABSOLUTE_OCPM,2,Daily,2025-10-12T05:45:51-0700,"7-day click, 1-day view, or 1-day engaged-view",,,229,248,,-,-,-,2.85,Ongoing,"Prospecting - $15 Trial Lesson - Oct 2025",10,4.032258,0.285,283,33.333333,44,0.064773,3,2,,,,,,2,,,,0.316667,1.209677,1.310044,,,,,,
2025-09-08,2025-11-10,"Ad - Carousel - Interest Hook - Copy",not_delivering,"Control - Interest Hook - V2 Page",0,ABSOLUTE_OCPM,2,Daily,2025-10-12T05:45:51-0700,"7-day click, 1-day view, or 1-day engaged-view",,,409,493,,-,-,-,5.37,Ongoing,"Prospecting - $15 Trial Lesson - Oct 2025",4,0.811359,1.3425,496,100,3,1.79,2,2,,,,,,1,,,,1.79,0.40568,0.488998,,,,,,1
2025-09-08,2025-11-10,"Ad - Video - Interest Hook - Authentic Audio",not_delivering,"Control - Interest Hook - V2 Page",0,ABSOLUTE_OCPM,2,Daily,2025-10-12T05:45:51-0700,"7-day click, 1-day view, or 1-day engaged-view",,,408,454,,-,-,-,5.81,Ongoing,"Prospecting - $15 Trial Lesson - Oct 2025",16,3.524229,0.363125,520,100,86,0.067558,7,6,,,,,,2,,,,0.415,1.54185,1.715686,,,,,,1
2025-09-08,2025-11-10,"Direct-Action with Animated video",not_delivering,"Test - Direct Action - V1 Booking Page",0,ABSOLUTE_OCPM,2,Daily,0,"7-day click, 1-day view, or 1-day engaged-view",,,404,442,,-,-,-,3.59,Ongoing,"Prospecting - $15 Trial Lesson - Oct 2025",8,1.809955,0.44875,496,33.333333,64,0.056094,3,1,,,,,,1,1,,,0.512857,0.678733,0.742574,,,,,,
2025-09-08,2025-11-10,"Ad - Carousel - Interest Hook - Copy 2",not_delivering,"Test - Direct Action - V1 Booking Page",0,ABSOLUTE_OCPM,2,Daily,0,"7-day click, 1-day view, or 1-day engaged-view",,,803,1053,,-,-,-,10.21,Ongoing,"Prospecting - $15 Trial Lesson - Oct 2025",10,0.949668,1.021,1080,33.333333,4,2.5525,3,7,,,,,,,1,,,1.134444,0.2849,0.373599,,,,,,
2025-09-08,2025-11-10,"Ad - Video - Interest Hook - Music - Copy",not_delivering,"Buyers LAL 1% - Interest Hook - V2 Page",0,ABSOLUTE_OCPM,5,Daily,2025-10-13T01:15:04-0700,"7-day click, 1-day view, or 1-day engaged-view",,,24,26,,-,-,-,0.52,Ongoing,"Prospecting - $15 Trial Lesson - Oct 2025",0,0,0,34,0,10,0.052,,0,,,,,,,,,,0,,0,,,,,,
2025-09-08,2025-11-10,"Ad - Carousel - Interest Hook - Copy",not_delivering,"Buyers LAL 1% - Interest Hook - V2 Page",0,ABSOLUTE_OCPM,5,Daily,2025-10-13T01:15:04-0700,"7-day click, 1-day view, or 1-day engaged-view",,,19,23,,-,-,-,0.21,Ongoing,"Prospecting - $15 Trial Lesson - Oct 2025",2,8.695652,0.105,23,100,1,0.21,1,1,,,,,,,,,,0.105,4.347826,5.263158,,,,,,
2025-09-08,2025-11-10,"Ad - Video - Interest Hook - Authentic Audio",not_delivering,"Buyers LAL 1% - Interest Hook - V2 Page",0,ABSOLUTE_OCPM,5,Daily,2025-10-13T01:15:04-0700,"7-day click, 1-day view, or 1-day engaged-view",,,526,605,,-,-,-,11.08,Ongoing,"Prospecting - $15 Trial Lesson - Oct 2025",18,2.975207,0.615556,633,85.714286,96,0.116632,7,10,,,,,,1,1,,11.08,0.6925,1.157025,1.140684,,,,,,
2025-09-08,2025-11-10,"Teachers Day Video",not_delivering,"LAL 1% - Home - Teachers Day",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-10-13T06:12:54-0700,"7-day click, 1-day view, or 1-day engaged-view",,,259,296,,-,-,-,2.6,Ongoing,"Prospecting - Engagement through Teacher video - Oct 2025",10,3.378378,0.26,407,66.666667,102,0.02549,3,6,,,,,,1,,,,0.26,1.013514,1.158301,,,,,,
