Month,Year,Lessons Sales,Books,Instructor Payment,Expenses,Staff Salaries,Expired Hours (Legacy),Distributed Profit,Transfered to Savings,Gross Profit,Net Profit,Cumulative,,Cash Available
7,2022,1171.63,78.357601,750,59.31,300,0,0,0,$140.68,$140.68,$140.68,,"$2,196.78"
8,2022,1576.13,67.87038,945,298.52,300,0,0,0,$100.48,$100.48,$241.16,,
9,2022,1312.72,70.241172,855,228.3,300,0,0,0,-$0.34,-$0.34,$240.82,,
10,2022,1510.96,79.8203256,1020,217.4,300,0,0,0,$53.38,$53.38,$294.20,,
11,2022,1077.53,82.575785,570,175.97,300,0,0,0,$114.14,$114.14,$408.34,,
12,2022,1433.11,109.9750281,1140,577.77,300,0,0,0,-$474.68,-$474.68,-$66.35,,
1,2023,4994.92,49.221648,2415,222.7,300,0,0,0,"$2,106.44","$2,106.44","$2,040.09",,
2,2023,3661.85,66.627678,1800,171.16,300,0,1100,0,"$1,457.32","$1,457.32","$2,397.41",,
3,2023,2499.48,170.2994463,1500,303.93,300,0,1100,0,$565.85,$565.85,"$1,863.26",,
4,2023,2657.56,98.90229,1800,178.3,300,0,0,0,$478.16,$478.16,"$2,341.42",,
5,2023,2633.81,75.94143,1845,351.75,300,90,1400,0,$303.00,$303.00,"$1,244.42",,
6,2023,1009.09,103.6418427,255,211.7,300,0,0,0,$346.03,$346.03,"$1,590.45",,
7,2023,2546.816136,83.72371,240,233.48,300,0,274,0,"$1,857.06","$1,857.06","$3,173.51",,
8,2023,3586.524007,81.022032,971.25,420.98,0,405,1800,1600,"$2,680.32","$1,080.32","$2,453.83",,
9,2023,2256.817805,107.454207,1600,226.46,0,0,2674,0,$537.81,$537.81,$317.64,,
10,2023,3826.546631,92.757525,1600,205.66,0,0,0,0,"$2,113.64","$2,113.64","$2,431.29",,
11,2023,3221.933323,99.9834572,1722,521.62,0,0,2240,200,"$1,078.30",$878.30,"$1,069.58",,
12,2023,2770.858067,57.873277,1976,209.99,0,0,644,0,$642.74,$642.74,"$1,068.32",,
1,2024,6476.598881,88.206357,2160,573.5063215,150,0,550,2700,"$3,681.30",$981.30,"$1,499.62",,
2,2024,3662.242335,165.0349728,2096,223.76,150,0,1000,0,"$1,357.52","$1,357.52","$1,857.14",,
3,2024,5508.374256,106.748115,2112,60.99,150,0,808,0,"$3,292.13","$3,292.13","$4,341.27",,
4,2024,4961.047135,85.4223716,2136,169.99,150,0,1000,0,"$2,590.48","$2,590.48","$5,931.75",,
5,2024,4280.875982,58.0240464,2479,258.31,150,0,6742,640,"$1,451.59",$811.59,$1.34,,
6,2024,3360.930026,131.373426,2487,216.99,1592,0,0,0,-$803.69,-$803.69,-$802.34,,
7,2024,3307.980033,68.3964536,2255,326.99,1622,0,0,0,-$827.61,-$827.61,"-$1,629.96",,
8,2024,5210.026948,72.54076,2413,134.1,2736,0,0,0,-$0.53,-$0.53,"-$1,630.49",,
9,2024,4643.614922,72.45979,2618,243.6058038,1865,0,0,0,-$10.53,-$10.53,"-$1,641.02",,
10,2024,5389.362147,61.6967804,2903,216.15,1600,0,0,0,$731.91,$731.91,-$909.11,,
11,2024,3662.09,86.1259126,2991,230.8,1600,0,0,0,"-$1,073.58","-$1,073.58","-$1,982.70",,
12,2024,4073.8,124.842471,3047,418.9546866,1700,0,0,0,-$967.31,-$967.31,"-$2,950.01",,
1,2025,7034.14,102.67837,3157,502.5994823,1700,0,0,0,"$1,777.22","$1,777.22","-$1,172.79",,
2,2025,3304.26,120.807768,3025,175.98,1700,0,0,0,"-$1,475.91","-$1,475.91","-$2,648.70",,
3,2025,5362.18,71.816917,3277,135.98,1700,0,0,0,$321.02,$321.02,"-$2,327.68",,
4,2025,4293.83,155.6411627,3178,146.98,1700,0,0,0,-$575.51,-$575.51,"-$2,903.19",,
5,2025,3945.89,65.5417448,3211,313.6,1700,0,0,-3000,"-$1,213.17","$1,786.83","-$1,116.36",,
6,2025,2738.89,48.8400395,2818,202.18,1700,0,0,0,"-$1,932.45","-$1,932.45","-$3,048.81",,
7,2025,4263.42,91.24263,2906,286.18,1700,0,0,0,-$537.52,-$537.52,"-$3,586.33",,
8,2025,2948.53,71.646288,2884,296.64,1700,0,0,-2140,"-$1,860.46",$279.54,"-$3,306.79",,
9,2025,4906.04,73.0131216,2752,511.83,1700,0,0,0,$15.22,$15.22,"-$3,291.57",,
10,2025,1694.82,70.447344,2774,718.79,1700,0,0,0,"-$3,427.52","-$3,427.52","-$6,719.09",,
